experiment_name,john,gp,ensnn,nn,mcdnn,bnn
toy,-2.239+-0.173,nan+-nan,-12.128+-9.088,-3.080+-0.149,-44.294+-17.698,-222.615+-392.377
toy_shifted,-2.152+-0.107,nan+-nan,-10.638+-6.069,-2.892+-0.207,-72.740+-28.986,-170.126+-235.509
uci_boston,-0.181+-0.190,-6.702+-17.450,-1.460+-0.022,-1.419+-0.000,-48.344+-9.182,-12.184+-9.749
uci_boston_shifted,-0.145+-0.421,0.024+-0.809,-2.037+-0.075,-1.554+-0.000,-32.942+-4.263,-14.259+-8.748
uci_boston_shifted_split,-0.164+-0.174,nan+-nan,,,,
uci_carbon,1.134+-0.511,nan+-nan,-1.321+-0.000,-1.377+-0.000,-83.038+-0.000,-15.789+-0.000
uci_carbon_shifted,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_carbon_shifted_split,1.118+-0.481,nan+-nan,,,,
uci_ccpp,-0.183+-0.115,nan+-nan,-1.458+-0.028,-1.177+-0.000,-48.844+-5.212,-26.396+-33.542
uci_ccpp_shifted,-0.164+-0.156,nan+-nan,-1.447+-0.033,-1.337+-0.000,-52.292+-5.975,-20.137+-23.867
uci_ccpp_shifted_split,-0.157+-0.048,nan+-nan,,,,
uci_concrete,-0.403+-0.149,-4.357+-11.492,-1.452+-0.018,-1.419+-0.000,-26.846+-2.676,-13.915+-12.222
uci_concrete_shifted,-0.522+-0.560,-0.379+-1.487,-1.422+-0.023,-1.417+-0.000,-20.967+-1.983,-18.682+-16.515
uci_concrete_shifted_split,-0.384+-0.119,nan+-nan,,,,
uci_energy,0.279+-0.372,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_energy_shifted,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_energy_shifted_split,0.200+-0.496,nan+-nan,,,,
uci_kin8nm,-0.615+-0.117,nan+-nan,-1.455+-0.025,-1.419+-0.000,-18.007+-1.899,-16.586+-20.015
uci_kin8nm_shifted,-0.656+-0.176,nan+-nan,-1.461+-0.017,-1.422+-0.000,-17.670+-2.163,-14.511+-14.676
uci_kin8nm_shifted_split,-0.593+-0.079,nan+-nan,,,,
uci_naval,-2.674+-0.224,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_naval_shifted,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_naval_shifted_split,-2.756+-0.287,nan+-nan,,,,
uci_protein,-1.544+-0.737,nan+-nan,,-1.567+-0.000,,
uci_protein_shifted,,nan+-nan,,,,
uci_protein_shifted_split,-1.510+-0.905,nan+-nan,,,,
uci_superconduct,-0.965+-0.179,nan+-nan,-1.453+-0.018,-1.419+-0.000,-26.556+-2.097,-9.140+-3.471
uci_superconduct_shifted,0.875+-0.303,nan+-nan,-1.420+-0.086,-0.891+-0.000,-15.111+-5.516,-1.897+-2.118
uci_superconduct_shifted_split,-1.057+-0.323,nan+-nan,,,,
uci_wine_red,-1.145+-0.036,-463.123+-271.867,-1.456+-0.020,-1.419+-0.000,-32.194+-3.631,-14.675+-13.806
uci_wine_red_shifted,0.742+-0.313,nan+-nan,-1.400+-0.045,-1.382+-0.000,-17.734+-3.610,-5.310+-0.977
uci_wine_red_shifted_split,-1.140+-0.044,nan+-nan,,,,
uci_wine_white,-1.397+-0.578,nan+-nan,-1.465+-0.024,-1.419+-0.000,-40.251+-3.045,-14.795+-15.763
uci_wine_white_shifted,nan+-nan,nan+-nan,-1.676+-0.099,-1.398+-0.000,-72.890+-29.915,-5.596+-2.741
uci_wine_white_shifted_split,-1.301+-0.251,nan+-nan,,,,
uci_yacht,0.401+-0.143,-891.786+-2764.965,-1.460+-0.027,-1.419+-0.000,-56.360+-4.321,-12.988+-12.825
uci_yacht_shifted,0.430+-0.250,nan+-nan,-1.475+-0.020,-1.427+-0.000,-57.861+-5.121,-12.860+-12.778
uci_yacht_shifted_split,0.426+-0.128,nan+-nan,,,,
