experiment_name,john,gp,ensnn,nn,mcdnn,bnn
toy,3.900+-0.388,nan+-nan,4.007+-0.000,4.335+-0.000,4.353+-0.077,4.284+-0.264
toy_shifted,3.823+-0.516,nan+-nan,4.091+-0.000,3.803+-0.000,3.979+-0.033,4.254+-0.256
uci_boston,0.302+-0.066,1.484+-0.000,1.000+-0.000,1.000+-0.000,1.354+-0.003,1.516+-0.386
uci_boston_shifted,1.768+-0.160,1.062+-0.000,1.333+-0.000,1.144+-0.000,1.593+-0.003,1.893+-0.594
uci_boston_shifted_split,0.305+-0.072,nan+-nan,,,,
uci_carbon,0.093+-0.082,nan+-nan,0.899+-0.000,0.949+-0.000,0.990+-0.000,1.077+-0.000
uci_carbon_shifted,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_carbon_shifted_split,0.095+-0.066,nan+-nan,,,,
uci_ccpp,0.269+-0.030,nan+-nan,1.000+-0.000,0.780+-0.000,1.357+-0.001,1.543+-0.880
uci_ccpp_shifted,1.318+-0.091,nan+-nan,0.991+-0.000,0.921+-0.000,1.304+-0.001,1.555+-1.019
uci_ccpp_shifted_split,0.259+-0.011,nan+-nan,,,,
uci_concrete,0.355+-0.072,1.345+-0.000,1.000+-0.000,1.000+-0.000,1.335+-0.003,1.494+-0.683
uci_concrete_shifted,1.521+-0.153,1.296+-0.000,0.974+-0.000,0.998+-0.000,1.383+-0.005,1.541+-0.656
uci_concrete_shifted_split,0.352+-0.058,nan+-nan,,,,
uci_energy,0.224+-0.082,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_energy_shifted,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_energy_shifted_split,0.231+-0.095,nan+-nan,,,,
uci_kin8nm,0.436+-0.065,nan+-nan,1.000+-0.000,1.000+-0.000,1.277+-0.008,1.546+-1.076
uci_kin8nm_shifted,1.364+-0.088,nan+-nan,1.004+-0.000,1.003+-0.000,1.279+-0.005,1.522+-0.643
uci_kin8nm_shifted_split,0.430+-0.044,nan+-nan,,,,
uci_naval,0.862+-0.085,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_naval_shifted,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan
uci_naval_shifted_split,0.895+-0.126,nan+-nan,,,,
uci_protein,1.118+-0.726,nan+-nan,,1.008+-0.000,,
uci_protein_shifted,,nan+-nan,,,,
uci_protein_shifted_split,1.021+-0.422,nan+-nan,,,,
uci_superconduct,0.670+-0.216,nan+-nan,1.000+-0.000,1.000+-0.000,1.315+-0.009,1.611+-0.777
uci_superconduct_shifted,0.534+-0.127,nan+-nan,0.963+-0.000,0.590+-0.000,0.503+-0.003,0.986+-0.847
uci_superconduct_shifted_split,0.605+-0.165,nan+-nan,,,,
uci_wine_red,0.761+-0.024,1.107+-0.028,1.000+-0.000,1.000+-0.000,1.188+-0.003,1.424+-0.509
uci_wine_red_shifted,1.444+-0.025,nan+-nan,0.948+-0.000,0.964+-0.000,1.146+-0.011,1.434+-0.686
uci_wine_red_shifted_split,0.761+-0.027,nan+-nan,,,,
uci_wine_white,0.930+-0.390,nan+-nan,1.000+-0.000,1.000+-0.000,1.158+-0.002,1.396+-0.491
uci_wine_white_shifted,nan+-nan,nan+-nan,1.155+-0.000,0.979+-0.000,1.666+-0.012,1.875+-0.433
uci_wine_white_shifted_split,0.836+-0.102,nan+-nan,,,,
uci_yacht,0.086+-0.064,1.516+-0.000,1.000+-0.000,1.000+-0.000,1.375+-0.003,1.558+-0.852
uci_yacht_shifted,1.414+-0.088,nan+-nan,1.013+-0.000,1.008+-0.000,1.409+-0.004,1.573+-0.964
uci_yacht_shifted_split,0.066+-0.043,nan+-nan,,,,
